date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:41:39	126/126	---MCZ	200	added ('OK')	text/plain	date:Mon,%2005%20Feb%202018%2003:41:38%20GMT	https://www.piguetgalland.ch/robots.txt		(from )
04:41:40	70360/70360	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:41:38%20GMT	https://www.piguetgalland.ch/fr/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/index.html	(from )
04:41:44	172017/172017	---M-Z	200	added ('OK')	text/css	etag:%2229ff1-563ae0fe51861-gzip%22	https://www.piguetgalland.ch/app/themes/piguet-galland/style.css?ver=4.8.1	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/themes/piguet-galland/stylea288.css	(from https://www.piguetgalland.ch/fr/)
04:41:46	2495/2495	---M-Z	200	added ('OK')	text/css	etag:%229bf-55d8a123750aa-gzip%22	https://www.piguetgalland.ch/app/plugins/wp-accessibility/css/wpa-style.css?ver=4.8.1	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/plugins/wp-accessibility/css/wpa-stylea288.css	(from https://www.piguetgalland.ch/fr/)
04:41:52	1060/1060	---M-Z	200	added ('OK')	application/javascript	etag:%22424-55d8a123e076a-gzip%22	https://www.piguetgalland.ch/app/plugins/wp-accessibility/js/skiplinks.webkit.js?ver=4.8.1	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/plugins/wp-accessibility/js/skiplinks.webkita288.js	(from https://www.piguetgalland.ch/fr/)
04:41:53	115117/115117	---M--	200	added ('OK')	image/jpeg	etag:%221c1ad-560ae2c27e941%22	https://www.piguetgalland.ch/app/uploads/2017/05/cropped-Banner_Piguet-Galland_03.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/05/cropped-Banner_Piguet-Galland_03.jpg	(from https://www.piguetgalland.ch/fr/)
04:42:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2005%20Feb%202018%2003:42:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/pig/www.googletagmanager.com/gtm.45445.delayed	(from https://www.piguetgalland.ch/fr/)
04:42:21	42348/42348	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:17%20GMT	https://www.piguetgalland.ch/fr/nous-contacter/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/nous-contacter/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:21	51248/51248	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:17%20GMT	https://www.piguetgalland.ch/fr/carrieres/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/carrieres/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:22	61601/61601	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:17%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/orchestrer-le-patrimoine-commun/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/orchestrer-le-patrimoine-commun/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:27	61871/61871	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:22%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/assurer-lavenir-de-vos-enfants-et-les-installer-dans-la-vie/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/assurer-lavenir-de-vos-enfants-et-les-installer-dans-la-vie/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:28	61278/61278	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:22%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/se-separer-et-preserver-son-patrimoine/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/se-separer-et-preserver-son-patrimoine/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:29	105769/105769	---M--	200	added ('OK')	image/jpeg	etag:%2219d29-55f950d850305%22	https://www.piguetgalland.ch/app/uploads/2017/05/Acheter_bien_immobilier_900x540-650x394.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/05/Acheter_bien_immobilier_900x540-650x394.jpg	(from https://www.piguetgalland.ch/fr/)
04:42:31	61373/61373	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:27%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/preserver-et-transmettre-votre-patrimoine/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/preserver-et-transmettre-votre-patrimoine/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:31	60478/60478	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:29%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/lancer-votre-entreprise/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/lancer-votre-entreprise/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:31	61802/61802	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:29%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/sinstaller-en-suisse-ou-ailleurs/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/sinstaller-en-suisse-ou-ailleurs/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:34	20837/20837	---M--	200	added ('OK')	image/jpeg	etag:%225165-55f9572030f75%22	https://www.piguetgalland.ch/app/uploads/2017/08/prevoyance-400x220.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/08/prevoyance-400x220.jpg	(from https://www.piguetgalland.ch/fr/)
04:42:34	61530/61530	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:31%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/optimiser-votre-patrimoine-professionnel-et-creer-de-la-valeur/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/optimiser-votre-patrimoine-professionnel-et-creer-de-la-valeur/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:35	61001/61001	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:32%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/transmission-entreprise/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/transmission-entreprise/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:35	61383/61383	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:34%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/profiter-de-la-vie/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/profiter-de-la-vie/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:40	26846/26846	---M--	200	added ('OK')	image/jpeg	etag:%2268de-55f959480759e%22	https://www.piguetgalland.ch/app/uploads/2017/06/Fotolia_106152636_Subscription_Monthly_M-400x220.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Fotolia_106152636_Subscription_Monthly_M-400x220.jpg	(from https://www.piguetgalland.ch/fr/)
04:42:40	62261/62261	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:35%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/acquerir-ou-agrandir-votre-patrimoine-immobilier/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/acquerir-ou-agrandir-votre-patrimoine-immobilier/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:41	62035/62035	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:36%20GMT	https://www.piguetgalland.ch/fr/projets-de-vie/assurer-votre-qualite-de-vie-au-moment-de-la-retraite/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/projets-de-vie/assurer-votre-qualite-de-vie-au-moment-de-la-retraite/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:42	6197/6197	---M--	200	added ('OK')	image/jpeg	etag:%221835-55f9508cb99fe%22	https://www.piguetgalland.ch/app/uploads/2017/05/ciel_340x340_homepage.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/05/ciel_340x340_homepage.jpg	(from https://www.piguetgalland.ch/fr/)
04:42:44	54649/54649	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:41%20GMT	https://www.piguetgalland.ch/fr/services/investissement/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/services/investissement/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:45	46141/46141	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:42%20GMT	https://www.piguetgalland.ch/fr/services/financement/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/services/financement/index.html	(from https://www.piguetgalland.ch/fr/)
04:42:50	43096/43096	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2003:42:46%20GMT	https://www.piguetgalland.ch/fr/services/prevoyance/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/services/prevoyance/index.html	(from https://www.piguetgalland.ch/fr/)
